"Difficulty","Dosage","Time"
"Easy","00mg",25.6
"Easy","00mg",25.8
"Easy","00mg",25.5
"Easy","00mg",23.3
"Easy","00mg",26.5
"Easy","00mg",26
"Easy","00mg",18.4
"Easy","00mg",23
"Easy","05mg",23.4
"Easy","05mg",21.9
"Easy","05mg",24.8
"Easy","05mg",24
"Easy","05mg",28.2
"Easy","05mg",25.2
"Easy","05mg",19
"Easy","05mg",20.8
"Easy","10mg",24.2
"Easy","10mg",19
"Easy","10mg",16.4
"Easy","10mg",19.4
"Easy","10mg",18.5
"Easy","10mg",20.1
"Easy","10mg",13.1
"Easy","10mg",11.9
"Hard","00mg",40.5
"Hard","00mg",36
"Hard","00mg",26.7
"Hard","00mg",41.3
"Hard","00mg",36.2
"Hard","00mg",32.8
"Hard","00mg",34.2
"Hard","00mg",30.1
"Hard","05mg",40.3
"Hard","05mg",36
"Hard","05mg",31.8
"Hard","05mg",32.2
"Hard","05mg",28.4
"Hard","05mg",32.2
"Hard","05mg",25.4
"Hard","05mg",27.4
"Hard","10mg",46.7
"Hard","10mg",38.5
"Hard","10mg",32.8
"Hard","10mg",39
"Hard","10mg",40.8
"Hard","10mg",34.7
"Hard","10mg",39.3
"Hard","10mg",43
