"Difficulty","Dosage","Block","Time"
"Easy","mg00","Blck1",25.6
"Easy","mg05","Blck1",23.4
"Easy","mg10","Blck1",24.2
"Hard","mg00","Blck1",40.5
"Hard","mg05","Blck1",40.3
"Hard","mg10","Blck1",46.7
"Easy","mg00","Blck2",25.8
"Easy","mg05","Blck2",21.9
"Easy","mg10","Blck2",19
"Hard","mg00","Blck2",36
"Hard","mg05","Blck2",36
"Hard","mg10","Blck2",38.5
"Easy","mg00","Blck3",25.5
"Easy","mg05","Blck3",24.8
"Easy","mg10","Blck3",16.4
"Hard","mg00","Blck3",26.7
"Hard","mg05","Blck3",31.8
"Hard","mg10","Blck3",32.8
"Easy","mg00","Blck4",23.3
"Easy","mg05","Blck4",24
"Easy","mg10","Blck4",19.4
"Hard","mg00","Blck4",41.3
"Hard","mg05","Blck4",32.2
"Hard","mg10","Blck4",39
"Easy","mg00","Blck5",26.5
"Easy","mg05","Blck5",28.2
"Easy","mg10","Blck5",18.5
"Hard","mg00","Blck5",36.2
"Hard","mg05","Blck5",28.4
"Hard","mg10","Blck5",40.8
"Easy","mg00","Blck6",26
"Easy","mg05","Blck6",25.2
"Easy","mg10","Blck6",20.1
"Hard","mg00","Blck6",32.8
"Hard","mg05","Blck6",32.2
"Hard","mg10","Blck6",34.7
"Easy","mg00","Blck7",18.4
"Easy","mg05","Blck7",19
"Easy","mg10","Blck7",13.1
"Hard","mg00","Blck7",34.2
"Hard","mg05","Blck7",25.4
"Hard","mg10","Blck7",39.3
"Easy","mg00","Blck8",23
"Easy","mg05","Blck8",20.8
"Easy","mg10","Blck8",11.9
"Hard","mg00","Blck8",30.1
"Hard","mg05","Blck8",27.4
"Hard","mg10","Blck8",43
