"Person","Food","Supplement","Reps"
"p1","Hi","sup1",2
"p1","Hi","sup2",4
"p1","Hi","sup3",4
"p1","Hi","sup4",3
"p2","Hi","sup1",2
"p2","Hi","sup2",5
"p2","Hi","sup3",4
"p2","Hi","sup4",6
"p3","Hi","sup1",8
"p3","Hi","sup2",6
"p3","Hi","sup3",7
"p3","Hi","sup4",9
"p4","Hi","sup1",4
"p4","Hi","sup2",3
"p4","Hi","sup3",5
"p4","Hi","sup4",7
"p5","Hi","sup1",2
"p5","Hi","sup2",1
"p5","Hi","sup3",2
"p5","Hi","sup4",3
"p6","Hi","sup2",5
"p6","Hi","sup1",5
"p6","Hi","sup3",6
"p6","Hi","sup4",8
"p7","Hi","sup1",2
"p7","Hi","sup2",3
"p7","Hi","sup3",2
"p7","Hi","sup4",4
"p1","Low","sup1",2
"p1","Low","sup2",2
"p1","Low","sup3",3
"p1","Low","sup4",3
"p2","Low","sup1",1
"p2","Low","sup2",4
"p2","Low","sup3",3
"p2","Low","sup4",4
"p3","Low","sup1",6
"p3","Low","sup2",3
"p3","Low","sup3",7
"p3","Low","sup4",8
"p4","Low","sup1",2
"p4","Low","sup2",3
"p4","Low","sup3",4
"p4","Low","sup4",5
"p5","Low","sup1",1
"p5","Low","sup2",1
"p5","Low","sup3",2
"p5","Low","sup4",3
"p6","Low","sup2",5
"p6","Low","sup1",5
"p6","Low","sup3",7
"p6","Low","sup4",8
"p7","Low","sup1",3
"p7","Low","sup2",2
"p7","Low","sup3",2
"p7","Low","sup4",4
