"Gender","Weight","Height","Waist","Hips","Chest","Hand","Shoe"
"W",200,71,43,46,45,8.5,7.5
"M",200,71,40,42,42,9.75,11
"W",155,66,31,43,37,8,8
"W",145,64,35,40,40,7.5,7.5
"W",140,66,31,40,36,8,9
"M",230,76,40,43,44,9,12
"W",120,67,32,39,36,7,8
"M",187,71,39,42,41,8,10
"M",145,67,32,36,38,8.5,8
"M",145,70,35,38,38,9,11
"W",140,63,32,41,36,8,8
"W",140,65,28,40,36,7.25,9
"M",173,68,38,41,42,9,9
"M",165,71,39,40,40,9,9.5
"M",180,71,35,41,42,10,10
"M",200,74,40,44,42,8.5,10.5
"M",146,61,32,45,44,9,11
"W",144,62,33,43,38,8,6
"M",210,69,41,45,47,9.5,10.5
"W",159,64,37,42,29,9,8
"W",115,60,32,38,39,8,6
"M",225,71,40,41,49,9,11
"W",160,68,38,43,43,7.75,8
"W",115,63,25,38,34,7,7
"M",200,75,35,42,45,9,11
"M",332,73,64,62,62,9.5,13
"M",285,76,53,54,51,9,12
"W",118,59,32,38,38,7.5,6.5
"M",170,68,39,43,43,9,8
"W",110,63,31,34,33,8,7
"W",118,65,31,36,36,8,8
"W",130,62,34,41,40,6.75,6.5
"W",126,63,29,38,38,9,6
"W",145,61,31,40,40,7,5.5
"W",165,66,38,48,42,7,7
"W",142,63,35,46,38,7.5,9
"M",175,66,43,43,43,9.5,11
"M",162,71,35,42,40,8.25,9
"W",130,66,31,38,34,7.5,9
"M",310,73,55,58,53,10.5,12
"W",170,64,39,44,42,8,6.5
"M",240,72,41,46,47,10,12
"M",200,73,38,42,43,8.5,9.5
"W",107,64,34,34,32,8,7
"M",240,71,38,46,50,9,11
"M",201,68,46,44,44,10,11
"W",180,71,40,44,43,8,8.5
"M",225,72,36,43,45,9,13
"W",160,65,37,44,39,8,9
"W",150,67,34,41,39,7.25,7.5
"M",230,72,43,48,48,10,12
"M",300,72,48,49,51,10,12
"W",125,66,31,38,38,7.5,9
"W",170,63,38,47,41,8,8
"M",210,72,43,43,45,9,12
"M",240,75,47,49,49,9,11
"W",142,67,30,39,39,8,8
"W",185,66,38,48,45,7.75,7.5
"W",200,70,36,40,46,9,9.5
"M",170,68,40,42,43,9,8
"M",196,68,39,42,35,10,8
"W",180,66,39,47,44,8,7
"M",332,73,64,62,62,9.5,13
"W",160,65,38,47,36,8,9
"M",115,64,24,34,34,9,11
"W",145,67,30,41,37,7.5,8
"W",125,62,33,36,34,9,8
"M",350,78,52,56,55,11,14
"W",170,64,36,44,38,9,9.5
"M",180,71,36,41,41,9,9.5
"W",145,65,31,41,36,7.5,9
"W",135,66,33,43,39,7,8
"W",190,70,39,37,44,8,8
"W",145,64,36,38,39,8.5,8.5
"W",116,63,33,38,39,7,6
"M",186,74,38,42,44,9.5,13
"M",300,70,59,60,54,10,11
"W",175,66,38,42,43,8,9
"M",165,69,33,40,40,9,10
"W",137,67,33,41,34,7,10
"W",145,66,38,42,38,8,8.5
"W",120,62,32,39,35,7,8
"W",160,67,35,42,41,7,7
"W",190,74,38,42,42,8,8
"M",314,74,54,57,52,8.75,10.5
"M",172,72,38,45,41,8.5,12
"W",140,64,38,44,42,9,6.5
"W",155,73,33,43,36,7.5,12
"M",227,74,43,44,46,9.5,12
"W",140,71,31,40,38,9,10
"M",183,73,35,39,39,9,12
"W",130,68,32,43,37,7.5,9
"W",139,71,30,38,38,8,11
"M",300,72,46,50,51,9,13
"M",194,72,39,42,43,10,12
"W",117,64,30,38,34,7.5,7
"M",215,71,38,44,48,9,11
"W",130,66,35,40,39,8,7
"W",195,63,44,52,47,8.5,7
"M",265,76,57,52,54,10,12
"W",171,68,38,49,38,8,8.5
"M",180,68,38,45,42,8.5,10
"M",193,69,44,46,46,8.5,8.5
"W",108,61,29,35,35,7.5,6.5
"W",120,65,28,39,34,7.5,9
"W",140,70,31,40,36,8,8.5
"M",220,70,44,48,44,8.5,11
"M",170,71,39,43,38,9,9
"M",145,72,35,38,38,8,9
"M",290,72,57,48,53,9.5,11
"M",300,72,50,51,54,11,11.5
"W",198,68,47,51,45,8,9.5
"W",125,62,32,41,35,7,6.5
"W",215,65,41,51,47,8,7.5
"W",173,60,44,46,46,8,6.5
"W",152,64,34,42,40,8,8
"W",138,68,32,39,36,8,10
"M",255,74,44,45,50,9,11
"W",139,64,33,42,36,7.5,7.5
"M",165,66,37,40,41,8.5,9
"M",240,71,42,45,48,9.5,12
"W",115,61,36,39,37,7,4.5
"M",225,67,40,43,45,9,10
"W",145,62,36,44,40,8,7
"M",224,69,45,48,48,7,9
"W",150,64,31,42,37,7,6
"M",190,68,38,42,46,9,10
"M",175,67,36,40,42,11,10
"M",175,68,40,44,43,9,10.5
"M",300,73,54,56,51,9,10
"W",131,64,32,41,42,8,7
"M",200,73,36,42,45,8,10
"W",150,70,28,42,38,8.5,8.5
"W",136,65,31,38,35,8,9
"W",130,65,31,42,36,8.5,8
"M",205,72,41,46,44,9,11
"W",120,62,32,40,34,7.25,7.5
"M",180,70,36,41,44,9,10
"W",158,62,35,46,40,8,7.5
"W",152,69,31,41,38,8,9.5
"M",185,71,36,42,43,8.5,10
"M",140,67,30,35,37,8,8.5
"W",125,66,32,38,36,7,7
"M",250,78,46,47,46,10,13
"W",122,66,29,36,34,8,9
"W",146,65,39,44,38,7.25,7.5
"M",226,76,39,44,46,9,12
"W",230,67,38,50,44,8,8.5
"M",170,68,38,41,42,8,8
"W",145,67,31,40,37,9,9
"M",195,71,37,44,40,11,11
"M",250,73,46,48,45,9.5,10
"W",130,63,33,43,36,6,7.5
"W",125,66,30,38,36,7,6
"W",132,64,31,38,36,6.75,7.5
"M",275,75,48,50,50,9,11
"W",120,64,31,38,46,7,5.5
"M",230,76,42,46,46,8,13
"W",165,67,33,39,43,7.5,8
"M",170,72,38,41,40,8.5,10.5
"M",325,76,58,57,55,10,13
"W",260,66,52,57,52,9.5,8.5
"M",190,73,38,45,44,9,11
"M",230,70,40,44,46,8.5,8.5
"W",140,67,31,44,38,7,9
"W",164,66,35,43,37,7,7
"M",235,71,45,47,49,9.5,10.5
"M",260,77,38,47,52,10.5,13
"M",300,75,55,63,52,9.5,14
"M",228,72,44,45,45,10,12
"M",195,73,36,40,42,9,11
"W",130,67,34,39,40,8,7.5
"M",260,75,40,46,50,9,13
"W",125,66,28,37,36,7.5,9
"M",190,71,40,42,43,8.25,10
"M",200,74,34,39,42,9.5,11
"W",120,62,35,41,41,8,7
"W",148,65,34,40,40,7.5,8
"M",225,72,47,45,46,9.5,13
"M",185,71,37,41,44,9,9.5
"M",205,72,37,43,44,8,10.5
"M",195,72,40,46,39,9,10
"W",160,61,38,44,39,8,7.5
"M",165,70,36,40,40,9,11
"W",110,62,34,40,36,7,6.5
"M",215,71,42,43,45,9,9
"W",115,65,30,36,36,7.5,7
"M",204,69,41,43,45,8.5,9.5
"M",225,72,41,45,48,9,10.5
"M",195,68,43,43,44,9,8
"M",485,71,38,41,43,9,10
"W",200,64,39,47,45,8,8.5
"M",375,73,64,59,66,10,12
"W",140,64,34,37,36,7.5,9
"M",190,69,38,42,46,9,9
"M",220,73,38,45,44,11,10
"W",138,67,32,42,40,8,8
"W",155,66,34,40,41,8,8
"W",160,66,34,43,42,8,8
"W",160,65,34,43,42,7.5,8
"W",142,70,30,40,38,8,10
"M",200,74,37,45,45,10,11
"M",225,74,40,46,44,9,12
"W",185,68,37,46,45,8,9
"W",130,64,33,41,36,7,7
"W",115,65,30,38,34,7,7.5
"W",106,63,30,35,32,7.5,6.5
"M",245,78,41,43,46,9.5,12
"M",194,70,36,40,42,8,10.5
"M",208,71,40,44,43,9,9.5
"M",198,70,40,47,40,9.5,9
"W",160,67,35,42,41,7.5,8.5
"W",115,64,29,36,36,7,7
"M",250,71,42,45,44,9.5,9.5
"M",190,66,40,43,46,8.5,7.5
"M",260,74,42,47,52,9.5,12
"W",178,64,36,46,41,7.5,7.5
"W",122,65,32,39,36,7,6
"W",130,65,29,38,40,7.25,8.8
"M",188,66,39,47,48,8.5,9
"M",240,73,40,46,50,9.5,13
"M",190,71,40,44,42,9.5,10.5
"M",190,70,40,42,42,9.5,10.5
"M",191,70,41,44,47,8,10.5
"M",170,70,34,41,43,9,10
"W",145,69,31,45,39,8,8
"W",145,68,29,36,40,7,8
"W",205,71,43,48,46,8,10
"M",190,73,40,44,39,10,12
"W",185,70,39,44,45,8.5,8.5
"W",102,61,25,35,33,7.6,6
"M",255,65,53,53,51,10.5,9
"W",148,63,37,41,40,7.25,6.5
"M",225,73,44,46,46,8,10
"W",140,63,35,44,42,7.5,6.5
"M",190,75,38,39,40,9,12
"M",205,74,37,46,43,8.5,10.5
"M",265,73,44,48,50,10,14
"W",142,65,34,41,36,7,7
"W",130,65,27,38,36,7,8
"M",290,73,49,53,53,9.25,11.5
"W",144,65,32,42,36,7.75,8.5
"M",212,75,39,46,44,9,10
"M",183,68,38,41,40,9.5,9
"W",105,63,25,34,35,7,6.5
"M",220,73,38,42,48,8.75,10
"M",180,66,40,41,46,8,9
"W",150,62,39,41,46,9,6
"M",290,73,49,48,47,9.75,16
"M",208,66,40,45,46,9.5,9
"M",160,66,33,40,39,9,8
"M",180,71,37,41,43,10,9
"M",160,68,35,40,40,7,9
"W",140,68,36,41,37,8,9
"M",290,75,46,49,48,9.5,15
"M",250,66,48,54,48,9,10
"M",230,74,43,46,44,11,10
"W",228,69,40,48,46,7.5,8.5
"M",230,73,41,46,44,9,12
"M",140,68,32,38,36,9,9
"M",150,70,37,41,39,8.5,8
"M",235,75,40,45,49,8.75,10.5
"W",150,68,33,42,37,7,8
"W",130,67,34,40,35,7,7.5
"W",195,69,39,45,44,8,10
"W",185,63,46,49,48,8,8
"W",130,64,28,38,36,8,9
"W",120,62,30,39,36,7,7
"M",212,72,41,42,43,8.5,11
"W",115,66,27,36,36,8,9
"W",125,65,27,36,32,7,8.5
"W",127,65,31,39,36,7,8
"W",174,65,33,47,42,8,8
"W",135,66,36,41,36,8,11
"W",188,65,38,48,44,8,8
"W",200,70,45,49,47,9,9
"W",172,65,37,44,44,8,9
"M",250,73,47,51,51,10,12
"M",170,66,36,36,42,8.75,7
"W",119,63,34,39,37,7,7
"M",220,73,42,44,44,8.5,10.5
"W",203,65,42,47,49,7.75,7.5
"M",275,76,42,46,50,9,13
"W",175,68,37,46,40,9,12
"W",130,67,27,36,36,8.5,9
"W",198,65,43,49,48,8.5,9.5
"W",125,65,31,40,35,7.5,7
"W",126,69,31,38,36,7.75,8.5
"M",250,77,40,44,48,9,12
"W",160,64,36,43,38,8,7.5
"W",147,68,33,39,34,8.5,9.5
"M",230,72,41,46,47,10,11
"M",136,68,31,34,37,8.25,9.5
"M",220,72,42,45,43,9,10.5
"M",200,72,40,44,40,9,12
"M",215,70,41,44,44,9,11
"M",155,71,35,38,38,9,9
"M",175,67,36,43,42,9,9
"M",215,73,42,48,46,11,12
"M",250,72,46,46,50,9.5,13
"M",190,73,37,41,41,8.5,12
"M",215,77,43,46,46,9,10.5
"W",150,70,29,38,36,7.5,9.5
"W",150,63,40,44,42,7.5,8
"M",225,76,39,43,43,9,13
"W",130,68,34,39,37,7.5,9.5
"M",192,72,40,42,41,9.25,10.5
"W",217,69,41,48,47,9,10
"M",155,67,33,39,38,8.5,8.5
"M",166,68,37,41,38,9,8.5
"M",185,71,35,41,39,8.25,10
"M",230,73,42,46,45,10,11
"W",190,62,45,51,43,9.5,8
"W",134,68,28,37,38,7,8
"W",125,64,33,41,36,7.5,7
"M",196,72,37,46,43,9,11.5
"W",150,67,35,42,36,8,8
"W",135,69,32,40,39,7,8
"W",167,65,34,47,37,7,7
"M",215,72,37,43,50,9.5,10
"M",210,73,41,43,44,10,12
"M",235,71,42,46,47,8.5,10
"M",250,70,42,50,52,10,13
"W",135,62,32,42,38,7.5,6.5
"W",140,64,33,38,36,7,8
"W",148,67,34,41,38,8,8.5
"W",220,72,45,53,50,7.5,8.5
"W",120,62,26,36,36,7.5,11
"M",225,71,45,46,46,9,10.5
"W",145,66,36,44,37,7,7
"M",200,70,34,42,44,9,9.5
"M",205,72,42,43,45,9,11
"W",160,63,37,44,40,7.5,9
"W",185,66,42,45,44,8,8
"W",136,67,31,43,36,7,8
"M",160,69,31,40,42,8.5,9
"W",137,64,31,40,40,8,7
"M",185,72,37,38,44,9,10.5
"W",114,63,32,39,36,7.5,7.5
"M",180,69,35,44,40,8.75,8
