"Reading","Verbal","Absent","Income"
73,64,4,36
77,80,2,103
42,54,9,4
83,60,2,95
94,91,0,75
84,67,0,90
63,63,4,98
78,82,0,73
40,50,12,2
45,60,12,35
100,90,0,83
97,88,0,85
69,61,5,52
50,63,9,0
90,86,4,59
100,79,0,91
80,65,5,89
81,64,8,89
88,73,1,22
95,70,0,111
71,49,8,15
100,85,0,115
83,59,0,76
68,54,7,48
66,79,1,69
77,88,0,140
80,87,0,131
75,57,6,84
70,61,4,84
71,50,4,70
88,56,6,39
72,75,0,117
66,83,4,30
67,46,6,110
91,77,0,104
93,87,0,61
75,62,2,76
100,94,0,92
62,44,5,59
55,50,6,42
61,61,2,52
73,92,0,71
67,64,6,48
80,93,0,116
89,84,0,75
71,59,4,88
98,49,0,82
71,64,8,46
67,43,8,70
93,70,0,76
72,65,2,48
74,76,0,69
64,57,8,0
62,64,4,117
74,74,6,66
72,66,3,103
70,61,3,71
76,83,2,65
100,98,0,130
85,79,3,116
76,68,1,65
83,86,3,43
57,63,2,127
77,84,0,118
57,72,2,99
65,45,8,77
90,69,3,63
74,60,3,66
64,52,6,0
55,56,11,41
87,66,4,28
57,53,3,45
94,81,0,104
66,74,3,47
65,68,3,81
75,79,2,115
81,72,0,123
83,75,0,164
56,57,6,95
80,74,5,56
72,54,0,100
76,58,6,44
61,73,1,74
82,77,2,92
77,95,3,62
75,77,1,98
73,62,1,82
63,66,4,69
82,83,0,60
91,62,0,113
76,58,7,70
68,79,1,72
66,70,0,17
83,96,0,141
49,77,5,51
80,63,3,96
86,84,2,52
51,39,7,26
77,87,0,70
67,74,5,28
